,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
15108,desktop,Paid Search,4,16.0,0,Windows,home,google,cpc
15109,desktop,Organic Search,22,265.0,0,Windows,home,google,organic
15110,desktop,Organic Search,6,101.0,0,Windows,home,google,organic
15111,desktop,Organic Search,7,437.0,0,Windows,home,google,organic
15112,desktop,Direct,12,1383.0,0,Macintosh,home,(direct),(none)
15113,desktop,Paid Search,9,65.0,0,Windows,home,google,cpc
15114,desktop,Organic Search,4,36.0,0,Windows,home,google,organic
15115,desktop,Paid Search,5,306.0,0,Windows,product,google,cpc
15116,desktop,Paid Search,12,501.0,0,Windows,product,google,cpc
15117,desktop,Organic Search,19,322.0,0,Windows,home,google,organic
15118,desktop,Direct,4,58.0,0,Macintosh,home,(direct),(none)
15119,desktop,Direct,5,42.0,0,Windows,home,(direct),(none)
15120,desktop,Organic Search,37,578.0,0,Windows,home,google,organic
15121,desktop,Organic Search,9,324.0,0,Windows,home,google,organic
15122,desktop,Direct,8,703.0,0,Macintosh,home,(direct),(none)
15123,desktop,Organic Search,3,28.0,0,Macintosh,home,google,organic
15124,desktop,Paid Search,2,32.0,0,Windows,product,google,cpc
15125,desktop,Direct,12,107.0,0,Windows,home,(direct),(none)
15126,desktop,Direct,6,73.0,0,Windows,home,(direct),(none)
15127,desktop,Paid Search,2,49.0,0,Windows,product,google,cpc
15128,desktop,Organic Search,7,168.0,0,Windows,search,google,organic
15129,desktop,Organic Search,5,851.0,0,Windows,home,google,organic
15130,desktop,Organic Search,8,722.0,1,Windows,home,google,organic
15131,desktop,Organic Search,2,37.0,0,Windows,home,google,organic
15132,desktop,Direct,4,95.0,0,Windows,home,(direct),(none)
15133,desktop,Organic Search,13,2349.0,1,Windows,home,google,organic
15134,desktop,Organic Search,3,19.0,0,Windows,home,google,organic
15135,desktop,Organic Search,11,1120.0,0,Windows,home,google,organic
15136,desktop,Paid Search,10,1974.0,0,Windows,product,google,cpc
15137,desktop,Direct,15,1126.0,0,Windows,product,(direct),(none)
15138,desktop,Direct,4,837.0,0,Windows,checkout,(direct),(none)
15139,desktop,Direct,28,1745.0,0,Windows,home,(direct),(none)
15140,desktop,Direct,4,105.0,0,Windows,home,(direct),(none)
15141,desktop,Organic Search,3,22.0,0,Macintosh,home,google,organic
15142,desktop,Organic Search,2,11.0,0,Macintosh,home,google,organic
15143,desktop,Organic Search,37,1227.0,0,Windows,home,google,organic
15144,desktop,Organic Search,8,100.0,0,Windows,home,google,organic
15145,desktop,Organic Search,16,948.0,0,Windows,home,google,organic
15146,desktop,Organic Search,3,15.0,0,Windows,home,google,organic
15147,desktop,Organic Search,7,36.0,0,Windows,home,google,organic
15148,desktop,Organic Search,3,67.0,0,Windows,home,google,organic
15149,desktop,Paid Search,5,172.0,0,Windows,product,google,cpc
15150,desktop,Organic Search,5,196.0,0,Macintosh,home,google,organic
